safety_id,vi,en,intent,severity,fixed_translation_candidate,synthetic,review_status,source_url
SAFE2_0001,Dừng lại ngay!,Stop immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0002,"Này, Dừng lại ngay!",Stop immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0003,"Ê, Dừng lại ngay!",Stop immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0004,"Mọi người, Dừng lại ngay!",Stop immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0005,Dừng công việc ngay!,Stop work immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0006,"Này, Dừng công việc ngay!",Stop work immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0007,"Ê, Dừng công việc ngay!",Stop work immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0008,"Mọi người, Dừng công việc ngay!",Stop work immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0009,Dừng máy ngay!,Stop the machine immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0010,"Này, Dừng máy ngay!",Stop the machine immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0011,"Ê, Dừng máy ngay!",Stop the machine immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0012,"Mọi người, Dừng máy ngay!",Stop the machine immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0013,Ngắt điện ngay!,Disconnect the power immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0014,"Này, Ngắt điện ngay!",Disconnect the power immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0015,"Ê, Ngắt điện ngay!",Disconnect the power immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0016,"Mọi người, Ngắt điện ngay!",Disconnect the power immediately!,STOP_WORK,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0017,Không cấp điện!,Do not energize the system!,PROHIBIT_ACTION,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0018,"Này, Không cấp điện!",Do not energize the system!,PROHIBIT_ACTION,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0019,"Ê, Không cấp điện!",Do not energize the system!,PROHIBIT_ACTION,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
SAFE2_0020,"Mọi người, Không cấp điện!",Do not energize the system!,PROHIBIT_ACTION,critical,True,True,needs_safety_officer_review,https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=152388 | https://www.osha.gov/training/outreach/construction/focus-four
